order_id,customer_id,product_name,quantity,unit_price,order_date
1001,C001,Wireless Keyboard,2,49.99,2024-01-03
1002,C002,USB-C Hub,1,79.99,2024-01-07
1003,C003,Mechanical Keyboard,1,129.99,2024-01-10
1004,C001,Noise Cancelling Headphones,1,199.99,2024-01-15
1005,C004,Webcam HD,2,89.99,2024-01-18
1006,C005,Monitor Stand,1,39.99,2024-01-22
1007,C002,Laptop Stand,1,59.99,2024-02-01
1008,C006,Wireless Mouse,3,34.99,2024-02-05
1009,C003,External SSD 1TB,1,109.99,2024-02-08
1010,C007,Blue Light Glasses,2,24.99,2024-02-12
1011,C004,Cable Management Kit,1,19.99,2024-02-19
1012,C008,Desk Mat Large,1,44.99,2024-02-25
1013,C005,LED Desk Lamp,1,54.99,2024-03-04
1014,C001,USB-C Hub,2,79.99,2024-03-08
1015,C009,Ergonomic Chair Cushion,1,69.99,2024-03-12
1016,C006,Wireless Keyboard,1,49.99,2024-03-15
1017,C010,Portable Charger,2,39.99,2024-03-19
1018,C002,Webcam HD,1,89.99,2024-03-22
1019,C007,Monitor Stand,2,39.99,2024-03-26
1020,C003,Noise Cancelling Headphones,1,199.99,2024-03-29
